index,dG_separated,dSASA_hphobic,hbonds_int,plddt,pae,cdr3b_plddt
147,-49.02,962.873,13.0,91.77748973039296,8.078972816467285,97.87118748125408
148,-34.129,768.227,13.0,91.84633591541552,8.639206886291504,98.29442369889604
150,-46.676,906.028,14.0,91.23486309859462,8.097172737121582,98.06796415323042
152,-17.855,658.523,3.0,88.25690503578312,9.37269401550293,98.26874598876212
154,-32.34,1029.042,8.0,92.58349804515709,7.196351051330566,98.28641120606716
155,-28.692,779.025,4.0,92.03749293485144,7.542821884155273,97.95141880694683
156,-37.4,862.191,10.0,91.03795451527913,7.9581403732299805,98.36651986058274
157,-26.662,842.265,9.0,89.5982979123538,10.008647918701172,98.18611503147746
158,-31.081,881.483,5.0,90.1859285285466,8.533414840698242,97.41593750774103
159,-37.601,1168.161,8.0,90.59904315995357,9.420533180236816,97.41280382438214
161,-20.172,554.65,6.0,90.1277714248736,9.00946044921875,98.28729925401794
163,-35.609,931.239,7.0,92.95873630458446,7.860512256622314,98.19252052863489
164,-40.135,920.19,11.0,90.6033965113132,7.617167949676514,98.33874655449284
165,-27.623,848.597,9.0,91.47940372938432,8.94859504699707,98.16495330583297
166,-40.235,916.914,11.0,90.1781971801119,8.096273422241211,98.26820743078126
167,-29.251,958.179,5.0,90.49703831307836,8.500707626342773,97.21963630606966
168,-35.298,1123.456,6.0,89.25073396342513,9.954605102539062,98.2832842736089
169,-27.968,801.738,7.0,90.76076238598088,8.573249816894531,97.52284315731715
170,-37.794,856.057,9.0,91.8512430736006,7.43863582611084,98.36463467825185
172,-41.794,1200.685,12.0,91.54368573692824,8.661016464233398,98.32765616114284
173,-28.197,896.646,7.0,89.42290974607857,8.506929397583008,97.85024390589064
174,-29.669,791.182,11.0,92.08387847159878,8.52276611328125,98.17513783156105
175,-32.51,1060.134,8.0,88.76506962860032,9.470982551574709,98.26352114859296
177,-38.113,893.104,7.0,92.48161027458345,7.0897979736328125,98.33286810008472
178,-30.352,853.836,4.0,90.36812146280752,9.09460163116455,98.23900881227704
179,-42.464,1103.908,10.0,91.94510446673216,7.370857238769531,98.30808614495126
181,-31.863,856.573,10.0,90.2748662251081,7.976486206054687,98.2422681293274
182,-39.774,930.484,12.0,89.49339500323909,8.78524112701416,98.28389574859612
183,-34.299,941.123,9.0,91.54158333626144,8.065237045288086,98.30862115137252
